main_artist,id,name,popularity,genres
PnB Rock,3ZotbHeyVQKxQCPDJuQ4SU,G-Unit,59,"['gangster rap', 'hardcore hip hop', 'hip hop', 'nyc rap', 'pop rap', 'queens hip hop', 'rap', 'southern hip hop']"
6LACK,6DJEUXZm0e2rAohdoZ5Voo,Jadakiss,62,"['battle rap', 'east coast hip hop', 'trap']"
August Alsina,5wPoxI5si3eJsYYwyXV4Wi,Naughty By Nature,55,"['east coast hip hop', 'hip hop', 'new jersey rap']"
Meek Mill,67nwj3Y5sZQLl72VNUHEYE,DMX,67,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
Jeremih,67ei8ib6PLT1w3OkhIb4fB,Jermaine Dupri,55,"['atl hip hop', 'contemporary r&b', 'dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']"
French Montana,27w1NoOLMX7tJMYqcetPyG,Ruff Ryders,38,"['dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip pop', 'southern hip hop']"
Mustard,28ExwzUQsvgJooOI0X1mr3,Eve,64,"['contemporary r&b', 'dance pop', 'hip pop', 'philly rap', 'r&b', 'urban contemporary']"
YG,74V3dE1a51skRkdII8y2C6,Terror Squad,48,"['bronx hip hop', 'dirty south rap', 'hardcore hip hop', 'hip pop', 'southern hip hop']"
Don Toliver,09hVIj6vWgoCDtT03h8ZCa,Ja Rule,67,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'queens hip hop', 'rap', 'urban contemporary']"
Kid Ink,0Mz5XE0kb1GBnbLQm2VbcO,Big Pun,58,"['bronx hip hop', 'east coast hip hop', 'hardcore hip hop']"
NAV,20qISvAhX20dpIbOOzGK3q,Jermaine Dupri,55,"['atl hip hop', 'contemporary r&b', 'dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']"
Offset,34EP7KEpOjXcM2TCat1ISk,Cassidy,44,"['battle rap', 'hardcore hip hop', 'hip pop', 'philly rap', 'southern hip hop', 'trap']"
Quavo,78xUyw6FkVZrRAtziFdtdu,Jadakiss,62,"['battle rap', 'east coast hip hop', 'trap']"
Young Thug,2ht3wxeT69CzyKFChNnNAB,Mase,61,"['contemporary r&b', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']"
A Boogie Wit da Hoodie,2GHclqNVjqGuiE5mA7BEoc,LL COOL J,59,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'queens hip hop', 'rap']"
Rich The Kid,7yk35uHNQclPXFGFoTU44w,Chingy,55,"['crunk', 'dirty south rap', 'hip pop', 'pop rap', 'southern hip hop']"
Bryson Tiller,3F2Y683ovlWT53WKCeq0oj,Cam'ron,56,"['battle rap', 'east coast hip hop', 'harlem hip hop', 'southern hip hop']"
