main_artist,id,name,popularity,genres
Fifth Harmony,2u0gw0uCWBMiqV7h0N8kai,Berlin,58,"['new romantic', 'new wave pop', 'synthpop']"
Katy Perry,5IDs1CK15HegSAhGEbSYXo,Sheena Easton,52,"['mellow gold', 'minneapolis sound', 'new romantic', 'new wave pop', 'soft rock']"
Shawn Mendes,0lZoBs4Pzo7R89JM9lxwoT,Thompson Twins,48,"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
Olivia Rodrigo,2BWfZGPtsjRlRp7JTDqI45,Tiffany,53,"['new wave pop', 'soft rock']"
Nicki Minaj,3gMaNLQm7D9MornNILzdSl,Boy George,41,"['new romantic', 'new wave', 'new wave pop']"
Little Mix,3sc7iUG1Wwpwx7bHeZolgx,Frankie Goes To Hollywood,55,"['dance rock', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
Meghan Trainor,0L9xkvBPcEp1nrhDrodxc5,Dead Or Alive,55,"['hi-nrg', 'new romantic', 'new wave pop', 'synthpop']"
Cardi B,1mZu3rO7qSD09GdDpePHhY,Fine Young Cannibals,57,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
Halsey,0gxyHStUsqpMadRV0Di1Qt,Wilson Phillips,50,"['girl group', 'mellow gold', 'new wave pop', 'soft rock']"
Miley Cyrus,6RGxLsQUoGk5PLyMVwb3yE,The Communards,47,"['hi-nrg', 'new romantic', 'new wave pop', 'sophisti-pop', 'synthpop']"
Billie Eilish,3sc7iUG1Wwpwx7bHeZolgx,Frankie Goes To Hollywood,55,"['dance rock', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
ZAYN,3vRclCt9VnNhYIxFMQCxuM,ABC,48,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']"
Harry Styles,6kz53iCdBSqhQCZ21CoLcc,Level 42,54,"['brit funk', 'dance rock', 'new romantic', 'new wave pop', 'post-disco', 'sophisti-pop', 'synthpop']"
Taylor Swift,18xgcedCGxFbqLbIQn5R8F,The Human League,59,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'sophisti-pop', 'synthpop']"
Anne-Marie,32lVGr0fSRGT6okLKHiP68,Thompson Twins,48,"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
Harry Styles,0ym94xKp2PIOJtTZKpxbAa,Kajagoogoo,42,"['new romantic', 'new wave pop', 'synthpop']"
Louis Tomlinson,3oZa8Xs6IjlIUGLAhVyK4G,The Communards,47,"['hi-nrg', 'new romantic', 'new wave pop', 'sophisti-pop', 'synthpop']"
Niall Horan,18jZvCsW1PJ4FDQ5gEXuKp,Paul Young,55,"['mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Liam Payne,2BWfZGPtsjRlRp7JTDqI45,Culture Club,61,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
One Direction,2urZrEdsq72kx0UzfYN8Yv,Nik Kershaw,51,"['new romantic', 'new wave', 'new wave pop']"
5 Seconds of Summer,5IDs1CK15HegSAhGEbSYXo,Alison Moyet,45,"['new romantic', 'new wave pop', 'solo wave', 'sophisti-pop', 'synthpop']"
ZAYN,7xkAwz0bQTGDSbkofyQt3U,Ultravox,49,"['new romantic', 'new wave', 'new wave pop', 'synthpop', 'zolo']"
Conan Gray,7bKupnlF7XOfR1En3K8oAL,Fine Young Cannibals,57,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
Shawn Mendes,5lpH0xAS4fVfLkACg9DAuM,Howard Jones,48,"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
Jonas Brothers,2u0gw0uCWBMiqV7h0N8kai,Wet Wet Wet,52,"['boy band', 'new romantic', 'new wave pop', 'soft rock', 'sophisti-pop']"
Olivia Rodrigo,5dcOK4stT4JDkP6Dqhbz5s,Bananarama,54,"['girl group', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Dua Lipa,10n1KB2sjTrGdyuC83y8jW,Go West,47,"['new romantic', 'new wave', 'new wave pop']"
Miley Cyrus,40enFxfEXXsEXKOt1vgx0k,Soft Cell,62,"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
Camila Cabello,0kObWap02DEg9EAJ3PBxzf,Heaven 17,39,"['new romantic', 'new wave pop', 'sophisti-pop', 'synthpop']"
The Vamps,4C3uGP8vRDzxrhJxZiOjTe,Johnny Hates Jazz,49,"['new romantic', 'new wave pop', 'sophisti-pop', 'synthpop']"
Troye Sivan,2kreKea2n96dXjcyAU9j5N,Culture Club,61,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Sabrina Carpenter,18xgcedCGxFbqLbIQn5R8F,Jimmy Somerville,39,"['hi-nrg', 'new romantic', 'new wave pop', 'scottish new wave', 'synthpop']"
Selena Gomez,5dcOK4stT4JDkP6Dqhbz5s,The Communards,47,"['hi-nrg', 'new romantic', 'new wave pop', 'sophisti-pop', 'synthpop']"
Halsey,3oZa8Xs6IjlIUGLAhVyK4G,Bananarama,54,"['girl group', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
The Neighbourhood,32lVGr0fSRGT6okLKHiP68,Samantha Fox,42,"['hi-nrg', 'new romantic', 'new wave pop']"
Doja Cat,6gkWznnJkdkwRPVcmnrays,Miami Sound Machine,52,"['disco', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']"
Camila Cabello,2u0gw0uCWBMiqV7h0N8kai,Kajagoogoo,42,"['new romantic', 'new wave pop', 'synthpop']"
Fifth Harmony,3gMaNLQm7D9MornNILzdSl,Frankie Goes To Hollywood,55,"['dance rock', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
Bebe Rexha,3sc7iUG1Wwpwx7bHeZolgx,Milli Vanilli,49,"['freestyle', 'new jack swing', 'new wave pop']"
Anne-Marie,6rqU9HQ57NYGBnBzbrY3a4,Sheena Easton,52,"['mellow gold', 'minneapolis sound', 'new romantic', 'new wave pop', 'soft rock']"
Selena Gomez,6twIAGnYuIT1pncMAsXnEm,Fine Young Cannibals,57,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
Demi Lovato,6kz53iCdBSqhQCZ21CoLcc,Spandau Ballet,58,"['new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']"
Zara Larsson,75L9s8KVrhCNtBUkZFnDFW,Eurythmics,65,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
Shawn Mendes,3vRclCt9VnNhYIxFMQCxuM,Paul Young,55,"['mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Nick Jonas,3mQBpAOMWYqAZyxtyeo4Lo,The Bangles,60,"['album rock', 'jangle pop', 'new romantic', 'new wave', 'new wave pop', 'paisley underground', 'soft rock']"
Halsey,3MdG05syQeRYPPcClLaUGl,Thompson Twins,48,"['new romantic', 'new wave', 'new wave pop', 'synthpop']"
Hailee Steinfeld,49iKbKGqgn8OESkW5WduX0,Village People,57,"['disco', 'new wave pop', 'soft rock']"
Alessia Cara,0kObWap02DEg9EAJ3PBxzf,Paula Abdul,49,"['dance pop', 'new wave pop', 'soft rock']"
Meghan Trainor,4PpmBoqphQusNFsxuVKb6j,Wet Wet Wet,52,"['boy band', 'new romantic', 'new wave pop', 'soft rock', 'sophisti-pop']"
ZAYN,530Sdm7eqqzWBdDmILMgnu,Dead Or Alive,55,"['hi-nrg', 'new romantic', 'new wave pop', 'synthpop']"
Little Mix,5MspMQqdVbdwP6ax3GXqum,Wham!,69,"['new romantic', 'new wave', 'new wave pop', 'soft rock']"
Rita Ora,1mZu3rO7qSD09GdDpePHhY,Simply Red,64,"['british soul', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop']"
Dua Lipa,3sc7iUG1Wwpwx7bHeZolgx,Seal,60,"['british soul', 'new wave pop']"
Selena Gomez & The Scene,20p5D2KrE8CGuOjHtxsyTp,Lisa Stansfield,51,"['british soul', 'new romantic', 'new wave pop']"
Jonas Brothers,6kz53iCdBSqhQCZ21CoLcc,Culture Club,61,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Charlie Puth,0s0rOb0gT2S9N0SDcjtPC4,Eurythmics,65,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
