main_artist,id,name,popularity,genres
Too $hort,6ns6XAOsw4B0nDUIovAOUO,Earl Sweatshirt,67,"['drumless hip hop', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']"
Method Man,1Z8ODXyhEBi3WynYw0Rya6,Vince Staples,64,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']"
Makaveli,2gINJ8xw86xawPyGvx1bla,Mac Miller,80,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
Xzibit,5DKuVtlpDH0agZQUFDy8O7,A$AP Ferg,68,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Dr. Dre,2yQf6b8hxahZaT5dHlWaB1,Baby Keem,75,"['hip hop', 'rap']"
Bone Thugs-N-Harmony,5cMgGlA1xGyeAB2ctYlRdZ,Isaiah Rashad,65,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']"
Wu-Tang Clan,7yk35uHNQclPXFGFoTU44w,A$AP Mob,55,"['hip hop', 'rap', 'southern hip hop', 'trap']"
Snoop Dogg,7xTKLpo7UCzXSnlH7fOIoM,JID,73,"['hip hop', 'pop rap', 'rap', 'underground hip hop']"
Dr. Dre,50NoVNy9GU1lCrDV8iGpyu,Amin�,66,"['pop rap', 'portland hip hop', 'rap', 'underground hip hop']"
Ice Cube,3fJ60AcIgLzQkVitEvA7uq,Childish Gambino,76,"['atl hip hop', 'hip hop', 'rap']"
Nate Dogg,6jHG1YQkqgojdEzerwvrVv,Odd Future,49,"['hip hop', 'underground hip hop']"
Eazy-E,1020a42xVklY6c56imNcaa,BROCKHAMPTON,63,"['boy band', 'rap']"
N.W.A.,6jHG1YQkqgojdEzerwvrVv,Big L,56,"['east coast hip hop', 'hardcore hip hop', 'harlem hip hop']"
The Notorious B.I.G.,099tLNCZZvtjC7myKD0mFp,Rakim,54,['east coast hip hop']
Busta Rhymes,6futYSDVulYR2PktBjTB5W,Redman,61,"['east coast hip hop', 'hardcore hip hop', 'new jersey rap', 'wu fam']"
50 Cent,3zpKjsMg2gw1St5WcWoUJN,Raekwon,65,"['east coast hip hop', 'hardcore hip hop']"
2Pac,2gINJ8xw86xawPyGvx1bla,Big Pun,58,"['bronx hip hop', 'east coast hip hop', 'hardcore hip hop']"
DMX,2yQf6b8hxahZaT5dHlWaB1,Ghostface Killah,63,"['east coast hip hop', 'hardcore hip hop']"
Warren G,2VX0o9LDIVmKIgpnwdJpOJ,GZA,59,"['east coast hip hop', 'hardcore hip hop']"
Xzibit,4OBbOrkD4geIjOLrICN3wO,Ol' Dirty Bastard,62,"['east coast hip hop', 'hardcore hip hop', 'hip hop']"
Ludacris,4iCwCMnqsNZ6atvRiADgtn,Method Man,67,"['east coast hip hop', 'hardcore hip hop', 'hip hop']"
Method Man,7HqrSDuI9lHuH1CDismTFg,Capone-N-Noreaga,43,"['east coast hip hop', 'queens hip hop']"
The Game,2bwR166mSJEJrYJqfyust3,RZA,61,"['east coast hip hop', 'hardcore hip hop']"
